userId,movieId,rating,timestamp
1,19,5.0,0
1,27,2.5,0
1,4,2.5,0
1,2,4.0,0
1,11,4.5,0
1,20,2.5,0
1,8,2.5,0
1,24,3.5,0
1,13,3.0,0
1,17,4.5,0
1,15,3.0,0
1,3,4.5,0
1,25,4.0,0
1,10,3.5,0
1,16,2.5,0
1,5,2.0,0
1,14,3.0,0
1,23,3.0,0
2,24,4.5,0
2,21,2.0,0
2,23,2.5,0
2,1,2.5,0
2,9,2.0,0
2,10,2.5,0
2,15,3.5,0
2,7,2.0,0
2,17,3.0,0
2,5,3.5,0
2,2,2.5,0
2,11,2.5,0
2,4,4.5,0
2,6,4.5,0
2,3,3.0,0
2,25,3.5,0
2,12,2.5,0
2,19,3.0,0
3,27,2.5,0
3,26,3.0,0
3,11,3.0,0
3,15,4.0,0
3,7,4.0,0
3,1,2.5,0
3,2,4.5,0
3,18,3.5,0
3,4,2.0,0
3,29,2.0,0
3,6,2.0,0
3,14,3.0,0
3,22,2.0,0
3,5,2.5,0
3,28,5.0,0
3,16,4.0,0
3,8,4.5,0
3,24,2.0,0
4,14,2.5,0
4,27,3.5,0
4,5,3.0,0
4,16,3.0,0
4,24,5.0,0
4,22,2.0,0
4,6,2.0,0
4,17,4.0,0
4,11,4.0,0
4,18,2.0,0
4,2,3.0,0
4,9,2.5,0
4,10,3.5,0
4,23,3.0,0
4,20,3.0,0
4,8,3.0,0
4,3,5.0,0
4,28,5.0,0
5,22,5.0,0
5,9,2.5,0
5,12,2.0,0
5,27,2.0,0
5,24,2.0,0
5,11,4.0,0
5,13,4.0,0
5,25,5.0,0
5,8,4.0,0
5,16,3.0,0
5,14,4.5,0
5,10,2.5,0
5,20,4.5,0
5,17,3.5,0
5,3,4.0,0
5,21,3.5,0
5,1,3.0,0
5,6,2.0,0
6,5,3.5,0
6,8,3.5,0
6,14,3.0,0
6,21,2.0,0
6,16,4.5,0
6,30,2.5,0
6,1,2.5,0
6,20,2.5,0
6,19,4.5,0
6,22,4.5,0
6,10,4.5,0
6,2,3.0,0
